probe_id,plot_id,start_date,start_time,end_date,end_time,lat,lon,location,height,org_layer,excess_length,probe_length,landuse,time_res,available,Hoehe_DGM,Landn,Expo,Inkl,BArt,BTyp,ESC,geometry
S05_008,PS074,03.06.2022,00:00,04.07.2022,23:59,50.121660,11.938320,Fichtenhammer,565.00,0,10,90,meadow,10,1,562.21,1600,119.13,1.00,30,2,1632,"c(710032.613912732, 5556292.1606564)"
S06_008,PS076,03.06.2022,00:00,04.07.2022,23:59,50.205340,11.901420,Foerbau,526.00,0,10,90,arable_land,10,1,526.65,1500,86.29,6.39,50,4,1554,"c(707033.367670504, 5565490.98922412)"
S08_008,PS070,02.06.2022,00:00,04.07.2022,23:59,50.076550,11.949230,Gruen,613.00,0,0,90,arable_land,10,1,609.95,1500,137.86,3.66,30,4,1534,"c(711010.532285557, 5551308.48266844)"
S09_008,PS067,01.06.2022,00:00,04.07.2022,23:59,50.194000,11.873050,Baerlas,529.00,0,30,90,arable_land,10,1,526.68,1500,78.22,2.73,50,4,1554,"c(705057.91390767, 5564151.96352699)"
S11_008,PS073,02.06.2022,00:00,05.07.2022,23:59,50.125250,11.831860,Zell,700.00,15,55,120,coniferous_forest,10,1,698.12,1100,225.96,5.45,50,2,1152,"c(702408.770002943, 5556396.96828381)"
S12_008,PS075,03.06.2022,00:00,04.07.2022,23:59,50.166980,11.899230,Schindelberg,660.00,5,45,120,coniferous_forest,10,1,634.36,1100,236.52,7.46,30,4,1134,"c(707043.006004023, 5561220.7100154)"
S14_008,PS068,01.06.2022,00:00,04.07.2022,23:59,50.227970,11.837200,Woelbersbach,606.00,10,0,120,coniferous_forest,10,1,601.33,1100,284.60,4.20,50,4,1154,"c(702355.769053471, 5567830.18808096)"
S02_009,PS079,06.07.2022,00:00,03.08.2022,23:59,50.181910,12.000400,Niederlamitz,690.00,5,25,120,mixed_forest,10,1,670.90,1400,233.72,6.26,30,3,1433,"c(714199.898914127, 5563166.18252708)"
S03_009,PS087,06.07.2022,00:00,02.08.2022,23:59,50.108570,11.924050,Grub,605.00,0,0,90,arable_land,10,1,606.52,1500,74.46,3.58,50,4,1554,"c(709069.776551857, 5554796.98653721)"
S04_009,PS082,07.07.2022,00:00,01.08.2022,23:59,50.169080,11.753290,Biengarten,592.00,0,0,90,arable_land,10,1,592.25,1500,72.68,1.64,50,4,1554,"c(696613.831091236, 5561059.11081066)"
S05_009,PS080,06.07.2022,00:00,01.08.2022,23:59,50.209180,11.962830,Martinlamitz,513.00,0,0,90,meadow,10,1,509.57,1600,261.09,0.74,30,2,1632,"c(711397.658989878, 5566090.27346607)"
S06_009,PS084,07.07.2022,00:00,31.07.2022,23:59,50.096680,11.798770,Kornbach,643.00,0,0,90,meadow,10,1,644.67,1600,345.07,6.20,50,3,1653,"c(700163.109895618, 5553131.78700453)"
S08_009,PS077,06.07.2022,00:00,02.08.2022,23:59,50.100810,11.909580,Weissenstadt,628.00,0,0,90,arable_land,10,1,628.64,1500,153.07,4.47,50,4,1554,"c(708068.965350578, 5553893.93494809)"
S09_009,PS083,07.07.2022,00:00,01.08.2022,23:59,50.195290,11.820530,Wulmersreuth,542.00,0,0,90,meadow,10,1,542.20,1600,178.44,4.73,50,4,1654,"c(701304.53166832, 5564152.18941492)"
S11_009,PS085,08.07.2022,00:00,31.07.2022,23:59,50.080810,11.773830,Gottmannsberg,763.00,10,30,120,coniferous_forest,10,1,755.74,1100,179.83,4.89,30,4,1134,"c(698445.254385972, 5551301.04102625)"
S12_009,PS081,07.07.2022,00:00,01.08.2022,23:59,50.150160,11.865900,Reinersreuth,729.00,10,30,120,coniferous_forest,10,1,718.87,1100,208.39,7.40,30,4,1134,"c(704735.03478241, 5559258.93142459)"
S14_009,PS086,08.07.2022,00:00,02.08.2022,23:59,50.075830,11.870360,Schoenlind,767.00,10,20,120,coniferous_forest,10,1,744.11,1100,200.85,8.33,50,4,1154,"c(705371.487309698, 5551008.50983581)"
S02_010,PS097,05.08.2022,00:00,29.08.2022,23:59,50.176750,11.964000,Niederlamitz,625.00,5,45,120,mixed_forest,10,0,613.10,1400,128.25,10.32,30,4,1434,"c(711624.516333944, 5562488.62516304)"
S03_010,PS092,04.08.2022,00:00,29.08.2022,23:59,50.132720,11.949640,Grossschloppen,530.00,0,0,90,arable_land,10,0,566.52,1500,156.05,3.44,30,4,1534,"c(710793.028324165, 5557553.52893515)"
S04_010,PS089,03.08.2022,00:00,29.08.2022,23:59,50.183320,11.859110,Weissdorf,549.00,0,0,90,arable_land,10,0,548.09,1500,117.13,2.28,30,3,1533,"c(704108.670946141, 5562926.47920341)"
S05_010,PS091,03.08.2022,00:00,30.08.2022,23:59,50.133650,11.795030,Zell,596.00,0,0,90,meadow,10,0,598.91,1600,219.36,4.22,30,3,1633,"c(699741.709920518, 5557231.47347776)"
S06_010,PS090,03.08.2022,00:00,29.08.2022,23:59,50.231480,11.913980,Fletschenreuth,507.00,0,0,90,meadow,10,0,507.87,1600,37.90,5.72,30,2,1632,"c(707815.789215225, 5568431.7556225)"
S08_010,PS093,04.08.2022,00:00,30.08.2022,23:59,50.119820,11.927730,Fichtenhammer,558.00,0,0,90,meadow,10,0,577.10,1600,68.60,1.14,30,2,1632,"c(709283.779965093, 5556057.86526116)"
S09_010,PS088,03.08.2022,00:00,29.08.2022,23:59,50.189140,11.845300,Weissdorf,527.00,0,0,90,arable_land,10,0,527.31,1500,16.93,0.34,50,4,1554,"c(703098.237137023, 5563535.72902625)"
S11_010,PS096,05.08.2022,00:00,29.08.2022,23:59,50.197970,12.002110,Nonnenwald,623.00,10,40,120,coniferous_forest,10,0,606.73,1100,178.21,4.81,30,4,1134,"c(714250.035109669, 5564956.34014348)"
S12_010,PS095,05.08.2022,00:00,30.08.2022,23:59,50.115000,11.847880,Ruppertsgruen,686.00,20,0,120,coniferous_forest,10,0,707.15,1100,77.82,2.58,50,2,1152,"c(703597.138159724, 5555301.13744189)"
S14_010,PS094,04.08.2022,00:00,31.08.2022,23:59,50.074410,11.854200,Weissenhaid,710.00,10,40,120,coniferous_forest,10,0,712.87,1100,201.91,5.00,50,2,1152,"c(704221.458919706, 5550806.33298999)"
S02_011,PS103,01.09.2022,00:00,03.10.2022,23:59,50.135560,11.830470,Zell,639.00,10,20,120,coniferous_forest,10,0,636.82,1100,258.02,3.58,50,2,1152,"c(702265.943183218, 5557539.28850642)"
S03_011,PS106,02.09.2022,00:00,03.10.2022,23:59,50.101020,11.868510,Weißenstadt,628.00,0,0,90,arable_land,10,0,624.08,1500,62.34,1.83,50,4,1554,"c(705131.520071927, 5553803.58631321)"
S04_011,PS098,31.08.2022,00:00,04.10.2022,23:59,50.201480,11.786580,Muenchberg,591.00,0,0,90,arable_land,10,0,587.37,1500,240.78,1.45,50,4,1554,"c(698856.09507314, 5564749.15534453)"
S05_011,PS102,01.09.2022,00:00,15.09.2022,23:59,50.130659,11.759228,Moedlenreuth,559.00,0,0,90,meadow,10,0,556.59,1600,15.80,3.44,30,4,1634,"c(697195.838688174, 5556803.73540877)"
S06_011,PS100,31.08.2022,00:00,03.10.2022,23:59,50.211190,11.924490,Schwarzenbach,541.00,0,10,90,meadow,10,0,526.48,1600,98.08,2.34,50,4,1654,"c(708653.764193102, 5566205.64006039)"
S08_011,PS105,01.09.2022,00:00,03.10.2022,23:59,50.118390,11.887030,Zigeunermuehle,653.00,0,0,90,arable_land,10,0,644.14,1500,42.70,3.03,50,4,1554,"c(706381.001764311, 5555785.5330447)"
S09_011,PS099,31.08.2022,00:00,04.10.2022,23:59,50.211540,11.742660,Unfriedsdorf,603.00,0,8,90,meadow,10,0,586.57,1500,176.89,1.85,30,4,1534,"c(695681.144532252, 5565751.21550193)"
S11_011,PS101,31.08.2022,00:00,03.10.2022,23:59,50.197300,11.938880,Voelkernreuth,570.00,10,30,120,coniferous_forest,10,0,563.81,1100,38.52,2.78,30,4,1134,"c(709741.190614927, 5564701.9936491)"
S12_011,PS104,01.09.2022,00:00,03.10.2022,23:59,50.142810,11.908310,Kirchenlamitz,744.00,5,25,120,mixed_forest,10,0,732.86,1400,10.43,4.38,50,4,1454,"c(707796.137543085, 5558559.17843792)"
S14_011,PS107,02.09.2022,00:00,04.10.2022,23:59,50.102730,11.808340,Torfmoorhoelle,745.00,10,50,120,mixed_forest,10,0,745.16,1200,322.35,3.48,30,4,1234,"c(700822.133631088, 5553830.03069049)"
S02_012,PS108,05.10.2022,00:00,NA,NA,50.113060,11.835200,Ruppertsgruen,748.00,10,20,120,mixed_forest,10,0,751.52,1400,79.06,7.73,30,4,1434,"c(702698.961746805, 5555050.96123907)"
S03_012,PS110,05.10.2022,00:00,NA,NA,50.161350,11.941180,Kirchenlamitz,608.00,0,0,90,meadow,10,0,608.89,1600,118.96,1.76,50,2,1652,"c(710063.008770159, 5560712.20440044)"
S04_012,PS114,06.10.2022,00:00,NA,NA,50.223010,11.808950,Markersreuth,546.00,0,0,90,meadow,10,0,549.60,1600,242.30,6.78,50,2,1652,"c(700361.998830132, 5567202.45702731)"
S06_012,PS112,06.10.2022,00:00,NA,NA,50.135680,11.940900,Grossschloppen,596.00,0,0,90,arable_land,10,0,599.31,1500,23.96,4.93,50,4,1554,"c(710155.556339588, 5557857.90467228)"
S08_012,PS109,05.10.2022,00:00,NA,NA,50.075000,11.950370,Roeslau,612.00,0,0,90,meadow,10,0,613.41,1600,74.74,4.08,30,4,1634,"c(711098.89406995, 5551139.40725217)"
S09_012,PS115,06.10.2022,00:00,NA,NA,50.163310,11.745200,Biengarten,594.00,0,0,90,arable_land,10,0,599.28,1500,350.96,1.91,30,4,1534,"c(696059.817024487, 5560396.3879265)"
S11_012,PS113,06.10.2022,00:00,NA,NA,50.224930,11.775930,Meierhof,648.00,5,35,120,coniferous_forest,10,0,650.99,1400,129.82,3.14,50,4,1454,"c(697999.0687267, 5567327.61489232)"
S12_012,PS111,05.10.2022,00:00,NA,NA,50.132230,11.905380,Kleinschloppen,713.00,5,25,120,coniferous_forest,10,0,711.00,1400,55.79,4.32,50,4,1454,"c(707632.640157165, 5557374.92783978)"
S14_012,PS116,07.10.2022,00:00,NA,NA,50.064530,11.801030,Birnstengel,765.00,10,40,120,coniferous_forest,10,0,753.75,1100,337.83,10.05,60,4,1164,"c(700458.824529582, 5549563.96768)"
