probe_id,plot_id,start_date,start_time,end_date,end_time,lat,lon,location,height,org_layer,excess_length,probe_length,landuse,time_res,available,Hoehe_DGM,Landn,Expo,Inkl,BArt,BTyp,ESC,geometry
S07_015,P0154,27.04.2022,00:00,10.05.2022,23:59,50.223933,11.823274,Markersreuth,555,0,20,90,meadow,10,1,555.38,1600,358.98,2.01,50,4,1654,"c(701379.689572777, 5567343.68228119)"
S07_016,P0155,12.05.2022,00:00,16.05.2022,23:59,50.129343,11.80835,Zell,637,0,24,90,meadow,10,1,636.65,1600,47.41,5.04,30,3,1633,"c(700711.490237465, 5556788.44246968)"
S07_017,P0163,18.05.2022,00:00,23.05.2022,23:59,50.164144,11.744589,Biengarten,602,0,10,90,meadow,10,1,602.56,1600,40.92,1.99,30,4,1634,"c(696012.773074942, 5560487.49318683)"
S07_018,P0164,25.05.2022,00:00,01.06.2022,23:59,50.12692,11.922789,Kleinschloppen,590,0,10,90,meadow,10,0,590.01,1600,56.81,1.83,30,3,1633,"c(708899.710994406, 5556833.26231857)"
S07_019,P0165,03.06.2022,00:00,15.06.2022,23:59,50.211406,11.75197,Unfriedsdorf,581,0,7,90,meadow,10,0,581.52,1600,256.89,2.05,50,3,1653,"c(696345.845222461, 5565760.80887662)"
S07_022,P0155,07.07.2022,00:00,13.07.2022,23:59,50.129343,11.80835,Zell,637,0,60,90,meadow,10,0,636.65,1600,47.41,5.04,30,3,1633,"c(700711.490237465, 5556788.44246968)"
S07_023,P0167,15.07.2022,00:00,20.07.2022,23:59,50.12062,11.743516,Moedlenreuth,551,0,20,90,meadow,10,0,552.06,1600,30.77,3.54,30,3,1633,"c(696114.131970683, 5555646.34414183)"
S15_001,P0201,09.12.2021,00:00,15.12.2021,23:59,50.075148,11.828917,Weissenhaid,762,9,31,120,coniferous_forest,30,1,759.34,1100,217.51,4.5,30,4,1134,"c(702409.580581186, 5550819.52110923)"
S15_002,P0202,24.12.2021,00:00,12.01.2022,23:59,50.202253,11.852486,Oppenroth,583,11,19,120,coniferous_forest,30,1,576.63,1100,30.87,5.83,50,4,1154,"c(703555.30136715, 5565013.02166243)"
S15_003,P0203,14.01.2022,00:00,19.01.2022,23:59,50.136556,11.846861,Reinersreuth,732,7,60,120,coniferous_forest,10,1,731.82,1100,158.15,11.47,50,4,1154,"c(703432.850131471, 5557694.57931156)"
S15_004,P0204,21.01.2022,00:00,26.01.2022,23:59,50.055621,11.952927,Zeitelmoos,645,7,43,120,coniferous_forest,10,1,641.95,1100,339.98,1.8,50,4,1154,"c(711367.023774842, 5548992.47233882)"
S15_005,P0205,28.01.2022,00:00,02.02.2022,23:59,50.213667,11.754528,Laubersreuth,580,9,15,120,coniferous_forest,10,1,577.87,1100,169.84,1.83,50,4,1154,"c(696519.033964201, 5566018.89729042)"
S15_006,P0206,04.02.2022,00:00,09.02.2022,23:59,50.12132,11.96634,Reicholdsgruen,597,12,28,120,coniferous_forest,10,1,590.76,1100,197.2,7.51,50,4,1154,"c(712036.684531146, 5556333.62379831)"
S15_007,P0207,11.02.2022,00:00,17.02.2022,23:59,50.101618,11.906197,Weissenstadt,638,4,32,120,coniferous_forest,10,1,632.46,1100,116.88,2.9,50,4,1154,"c(707823.579884114, 5553974.32704087)"
